x_val, y_val
0.752, 0.483
0.756, 0.483
0.756, 0.483
0.76, 0.483
0.76, 0.483
0.76, 0.483
0.76, 0.483
0.769, 0.487
0.769, 0.487
0.769, 0.487
0.769, 0.487
0.77, 0.487
0.77, 0.487
0.77, 0.487
0.77, 0.487
0.77, 0.487
0.77, 0.487
0.77, 0.487
0.77, 0.487
0.772, 0.487
0.772, 0.487
0.772, 0.487
0.772, 0.487
0.772, 0.487
0.772, 0.487
0.772, 0.487
0.772, 0.487
0.772, 0.487
0.772, 0.487
0.772, 0.487
0.772, 0.487
0.772, 0.489
0.772, 0.489
0.772, 0.489
0.772, 0.489
0.772, 0.489
0.772, 0.489
0.77, 0.489
0.77, 0.489
0.77, 0.489
0.77, 0.489
0.78, 0.499
0.788, 0.507
0.796, 0.515
0.8, 0.52
0.808, 0.53
0.818, 0.546
0.821, 0.552
0.827, 0.563
0.832, 0.576
0.832, 0.582
0.84, 0.603
0.842, 0.61
0.846, 0.63
0.85, 0.649
0.85, 0.654
0.852, 0.662
0.852, 0.673
0.852, 0.686
0.852, 0.699
0.852, 0.707
0.846, 0.727
0.844, 0.733
0.836, 0.752
0.833, 0.758
0.826, 0.767
0.816, 0.782
0.811, 0.787
0.806, 0.794
0.802, 0.798
0.794, 0.805
0.789, 0.808
0.776, 0.819
0.776, 0.819
0.776, 0.819
0.772, 0.822
0.772, 0.822
0.772, 0.822
0.772, 0.822
0.767, 0.826
0.767, 0.826
0.767, 0.826
0.767, 0.826
0.76, 0.83
0.76, 0.83
0.76, 0.83
0.76, 0.83
0.758, 0.83
0.758, 0.83
0.758, 0.83
0.758, 0.83
0.758, 0.83
0.758, 0.833
0.758, 0.833
0.758, 0.833
0.758, 0.833
0.754, 0.833
0.754, 0.833
0.754, 0.833
0.754, 0.833
0.751, 0.833
0.751, 0.833
0.751, 0.833
0.751, 0.833
0.749, 0.835
0.745, 0.835
0.741, 0.835
0.739, 0.835
0.734, 0.835
0.728, 0.83
0.719, 0.825
0.715, 0.822
0.702, 0.811
0.698, 0.806
0.685, 0.793
0.681, 0.789
0.674, 0.779
0.67, 0.774
0.667, 0.769
0.656, 0.75
0.653, 0.745
0.641, 0.721
0.636, 0.713
0.631, 0.705
0.621, 0.687
0.611, 0.671
0.596, 0.646
0.585, 0.627
0.581, 0.621
0.568, 0.6
0.563, 0.591
0.558, 0.583
0.543, 0.558
0.537, 0.55
0.521, 0.525
0.516, 0.517
0.51, 0.509
0.495, 0.487
0.488, 0.473
0.485, 0.466
0.479, 0.452
0.473, 0.432
0.472, 0.419
0.469, 0.413
0.462, 0.389
0.46, 0.38
0.457, 0.373
0.448, 0.351
0.444, 0.344
0.431, 0.324
0.427, 0.317
0.423, 0.311
0.408, 0.29
0.402, 0.283
0.392, 0.267
0.382, 0.253
0.365, 0.231
0.354, 0.216
0.35, 0.211
0.344, 0.207
0.329, 0.194
0.317, 0.187
0.304, 0.183
0.288, 0.176
0.284, 0.176
0.27, 0.173
0.265, 0.173
0.254, 0.171
0.248, 0.171
0.242, 0.171
0.223, 0.174
0.218, 0.177
0.2, 0.184
0.184, 0.192
0.181, 0.194
0.169, 0.204
0.164, 0.208
0.16, 0.212
0.147, 0.226
0.142, 0.232
0.13, 0.25
0.127, 0.257
0.117, 0.279
0.114, 0.288
0.11, 0.305
0.107, 0.322
0.105, 0.33
0.103, 0.356
0.103, 0.363
0.103, 0.38
0.103, 0.397
